track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence,year
0VdV4ka3IsCmS4tgZjQQon,31,0.794,0.00815,0.141,-15.17,0.0832,0.959,2005
2Nv2RtJvdllcq0ebUeklSI,31,0.435,0,0.746,-8.436,0.93,0.628,2011
22IpHtTKXMVgIFyzMOFgfD,31,0.533,0.0202,0.101,-10.021,0.0268,0.181,2009
57DWaOaauJt1ZOgFE3Ldbw,31,0.181,0.948,0.335,-13.799,0.0371,0.0409,2004
67iDP6ZM5VodRvfYo8gKGV,31,0.563,0.0428,0.101,-10.129,0.0778,0.652,2014
5PYvsgExYROfYmPq8Qa4hs,31,0.278,0.422,0.138,-17.482,0.0426,0.0398,1995
4z3AALK0yW5jQy6UHHPOyl,31,0.39,0.873,0.0732,-15.707,0.0291,0.309,2011
3q5gLNjTaftvfD3XCoym7N,31,0.247,0.551,0.107,-13.1,0.0392,0.0388,2010
061FgjeyBLVrPESHBJVYi0,31,0.112,0.993,0.104,-12.315,0.0326,0.057,1997
1616uIpy5KwVqnKtIuyhcu,31,0.182,0.518,0.0713,-18.314,0.0377,0.0351,2002
1TfwIoCKpEhbfjO4N2TMAK,31,0.217,3.23E-06,0.115,-23.267,0.0418,0.114,1989
39fWaq2IZw9gJ3FOKQWta1,31,0.56,0,0.539,-10.268,0.0527,0.886,1939
3m8ej3lZ47yndhFc08jeMP,31,0.118,0.52,0.152,-12.669,0.0343,0.0356,1997
6AC4mYaLMXifDjpgNlOksF,31,0.221,0.963,0.122,-27.889,0.0537,0.0779,2014
36vByaaTfh3DOpjoh6yMFE,31,0.628,0.392,0.17,-14.154,0.03,0.149,1997
4Iheb6qh6ugI1OQ8hrnkiB,31,0.373,0,0.0749,-24.774,0.0491,0.552,2015
6Ppfbkqnzpkpza9NstPzOd,31,0.647,0.813,0.151,-14.413,0.0357,0.0855,1997
5X4JgcQI9aPhDsnTT1JC0a,31,0.122,0.815,0.0811,-16.321,0.0399,0.0316,2015
1xeWQGjKglXSsCHgmIzpYm,31,0.262,0.408,0.234,-14.827,0.0305,0.37,2005
0DPriZjVB93WcI2EzFl3wp,31,0.284,0.648,0.16,-16.712,0.0363,0.14,2002
6LYtBOkkTUNQ6RTHAyFflL,31,0.569,0.00185,0.173,-13.325,0.0388,0.269,1990
4uew5SER845c4iNj4sl8jG,31,0.146,0.957,0.107,-25.983,0.0389,0.0398,2008
