,track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence
95744,3PDuPLArSTzKH2W2hKYjh0,53.0,0.711,0.000186,0.129,-4.014,0.0511,0.694
95745,6u9klYiUn3NTSMkQ9unEPD,44.0,0.399,0.107,0.0957,-10.477,0.0363,0.137
95746,1feu4SnGnhdcaMOK6FwSQ9,37.0,0.524,0.00784,0.315,-6.099,0.0433,0.434
95747,70ImmsjSK86Qqqy7QYxI0C,39.0,0.436,0.0686,0.14,-9.101,0.192,0.413
95748,1WMiln7ISVkEnQJ7FQaw1a,42.0,0.709,4.54e-06,0.104,-9.49,0.0793,0.43
95749,6MeRDLBZfPRZudEmJhbuj6,36.0,0.776,1.47e-06,0.0828,-5.727,0.182,0.703
95750,0BNde7MfH0nt60mEOVwhlr,44.0,0.654,0.0,0.0575,-4.757,0.028,0.557
95751,4MqqZRjZVkheBor570C2yt,53.0,0.76,0.0,0.273,-2.825,0.0473,0.804
95752,0eYmkWPJqioxUgSh9pVzS5,34.0,0.533,0.39,0.11,-13.659,0.0355,0.261
95753,24Rl1EUg5y9uym2rI3DL3r,38.0,0.693,0.0,0.314,-5.47,0.0415,0.572
95754,1RUxqobMDkexH6e7mliVtV,44.0,0.816,1.37e-05,0.0672,-6.417,0.122,0.738
95755,49L3vCYKqUt6BLKXddJGY8,39.0,0.775,0.0,0.153,-6.582,0.0813,0.295
95756,08KEj1YKpX8oGtwnLzZav1,40.0,0.596,1.9e-06,0.0872,-3.629,0.0342,0.831
95757,055xQyAJgedjnG98vBnO88,44.0,0.402,0.00992,0.159,-6.915,0.0477,0.864
95758,22IVvpKhaLiYGzu3FdqBwB,43.0,0.656,0.00484,0.858,-12.325,0.1,0.502
95759,1QRRFxwnpE5p9ALqBrqXDP,28.0,0.478,2.8e-05,0.0902,-5.684,0.1,0.727
95760,1CWNDz7nWdroQZjji9GmAE,44.0,0.618,1.11e-05,0.0645,-7.068,0.0798,0.669
95761,2RcZIrOCedVC6RYHTnlm7y,22.0,0.402,0.0,0.139,-8.136,0.0333,0.784
95762,0xk2pGhKtVFY8bTdozH3bv,50.0,0.669,0.0,0.12,-5.537,0.0267,0.524
95763,3omHpz9fmngYFdHDRLGeRZ,51.0,0.708,0.00389,0.32,-5.39,0.0657,0.264
95764,1tjt1ZEVVKrih3he8zKWgE,49.0,0.537,6.45e-06,0.0862,-8.34,0.0947,0.473
95765,2nrVWS45ufhqJuKK95J3nv,44.0,0.264,5.06e-06,0.098,-7.643,0.0637,0.408
95766,0bjKbwEvZfU5epyZ3aZm1y,44.0,0.418,6.82e-06,0.0548,-9.607,0.0272,0.486
95767,24s6yppvGO5he6wRwCaGrr,40.0,0.667,0.0,0.335,-7.35,0.119,0.662
95768,75pgy4q0xhwSFwWTnAcSzV,32.0,0.406,0.801,0.597,-5.65,0.0352,0.752
95769,1v8CLE5PEAs7LebsjZ0FY2,44.0,0.692,0.0,0.0563,-6.578,0.0412,0.91
95770,5f5id9NjR5ogKsIBpqYbXZ,49.0,0.496,0.00521,0.125,-8.394,0.0268,0.17
95771,5jSSzGy92H92J8V6XNsp2X,28.0,0.759,0.0,0.187,-5.868,0.109,0.509
95772,31jt2IfeUqQn9olQBkOuTf,31.0,0.902,0.0,0.0751,-5.225,0.104,0.968
95773,1ji2kPdjiFCVWHpHwaMd1f,39.0,0.643,0.0,0.186,-5.625,0.0468,0.715
